Nama Barang,Brand,Lokasi,Terjual,Image Url,Link Produk,Deskripsi
Project 1945 Waters of Maluku Perfume | EDP Parfum Unisex 100ml,Project 1945,Jakarta Utara,750+ terjual,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/12/2/8a71ff68-2c13-4c5e-9721-1a0a22badc1f.png,https://www.tokopedia.com/project1945/project-1945-waters-of-maluku-perfume-edp-parfum-unisex-100ml?extParam=ivf%3Dfalse%26src%3Dsearch,"PROJECT 1945 WATERS OF MALUKU EDP🇮🇩GRATIS 45k OFF Voucher untuk pembelian 1x 100ml berikutnya. **Voucher hanya berlaku 60 Hari setelah pesanan selesai. ---------------------------------WATERS OF MALUKU EDPBPOM: NA18220603248Terinspirasi dari elok bahari Maluku, diawali dengan segar teduh padu wangi Green Tea & Grapefruit beriringan dengan lembut heningnya Cinnamon, Lotus & Peony ditutup dengan hangatnya Clove, Incense & Musk. Semua merangkum nuansa kepulauan eksotis yang dipeluk pantai-pantai nan indah dan melahirkan budaya serta spirit bahu membahu. Tipe: Eau De Parfum (EDP)Woody, White Floral, Spicy, AmberParfum NotesTop: Grapefruit, Carrot, Green TeaMid: Lotus, Peony, CinnamonBase: Clove, Cistus, Incense, Musk---------------------------------PENGIRIMAN 🚚*Pengiriman setiap hari kecuali Sabtu, Minggu, dan tanggal merah.*Pesanan akan dikirim hari yang sama jika-Konfirmasi pembayaran dilakukan sebelum jam 3 sore (Senin-Jumat) |Lebih dari itu akan ikut pengiriman di *hari kerja* berikutnya.*Pengiriman dilakukan dari Jakarta, dan durasi pengiriman disesuaikan dengan kebijakan jarak dan ketepatan waktu masing-masing jasa antar.*Apabila ada kendala silahkan langsung menghubungi Tim Project 1945, dan kami siap membantu. "
Alchemist Fragrance - Powder Room | Eau de Parfum,Alchemist Fragrance,Jakarta Pusat,3rb+ terjual,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/2/40ee57ee-aa8d-471b-baa8-d169b71524d1.jpg,https://www.tokopedia.com/alchemistfragrance/alchemist-fragrance-powder-room-eau-de-parfum?extParam=ivf%3Dtrue%26src%3Dsearch,"𝐒𝐞𝐥𝐮𝐫𝐮𝐡 𝐩𝐫𝐨𝐝𝐮𝐤 𝐀𝐥𝐜𝐡𝐞𝐦𝐢𝐬𝐭 𝐅𝐫𝐚𝐠𝐫𝐚𝐧𝐜𝐞 𝐛𝐞𝐫𝐠𝐚𝐫𝐚𝐧𝐬𝐢. 𝐓𝐞𝐫𝐝𝐚𝐩𝐚𝐭 𝐰𝐚𝐫𝐫𝐚𝐧𝐭𝐲 𝐜𝐚𝐫𝐝 𝐮𝐧𝐭𝐮𝐤 𝐬𝐞𝐭𝐢𝐚𝐩 𝐩𝐞𝐦𝐛𝐞𝐥𝐢𝐚𝐧.𝐉𝐢𝐤𝐚 𝐩𝐫𝐨𝐝𝐮𝐤 𝐲𝐚𝐧𝐠 𝐤𝐚𝐦𝐮 𝐭𝐞𝐫𝐢𝐦𝐚 𝐛𝐞𝐫𝐦𝐚𝐬𝐚𝐥𝐚𝐡 (𝐛𝐨𝐜𝐨𝐫, 𝐩𝐞𝐜𝐚𝐡, 𝐫𝐞𝐭𝐚𝐤, 𝐭𝐞𝐫𝐬𝐮𝐦𝐛𝐚𝐭, 𝐚𝐭𝐚𝐮 𝐤𝐞𝐫𝐮𝐬𝐚𝐤𝐚𝐧 𝐥𝐚𝐢𝐧𝐧𝐲𝐚), 𝐬𝐢𝐥𝐚𝐤𝐚𝐧 𝐡𝐮𝐛𝐮𝐧𝐠𝐢 𝐚𝐝𝐦𝐢𝐧 𝐦𝐞𝐥𝐚𝐥𝐮𝐢 𝐜𝐡𝐚𝐭 𝐝𝐚𝐧 𝐬𝐞𝐫𝐭𝐚𝐤𝐚𝐧 𝐛𝐮𝐤𝐭𝐢 𝐟𝐨𝐭𝐨 𝐚𝐭𝐚𝐮 𝐯𝐢𝐝𝐞𝐨 𝐩𝐫𝐨𝐝𝐮𝐤.𝐆𝐚𝐫𝐚𝐧𝐬𝐢 𝐡𝐚𝐧𝐲𝐚 𝐛𝐞𝐫𝐥𝐚𝐤𝐮 𝐮𝐧𝐭𝐮𝐤 𝐩𝐞𝐦𝐛𝐞𝐥𝐢 𝐲𝐚𝐧𝐠 𝐛𝐞𝐥𝐮𝐦 𝐦𝐞𝐧𝐲𝐞𝐥𝐞𝐬𝐚𝐢𝐤𝐚𝐧 𝐭𝐫𝐚𝐧𝐬𝐚𝐤𝐬𝐢. 𝐆𝐚𝐫𝐚𝐧𝐬𝐢 𝐩𝐫𝐨𝐝𝐮𝐤 𝐭𝐢𝐝𝐚𝐤 𝐥𝐚𝐠𝐢 𝐛𝐞𝐫𝐥𝐚𝐤𝐮 𝐣𝐢𝐤𝐚 𝐩𝐞𝐦𝐛𝐞𝐥𝐢 𝐭𝐞𝐥𝐚𝐡 𝐦𝐞𝐦𝐛𝐞𝐫𝐢 𝐩𝐞𝐧𝐢𝐥𝐚𝐢𝐚𝐧 𝐝𝐚𝐧 𝐮𝐥𝐚𝐬𝐚𝐧.-Aroma yang ringan dan menenangkan dengan fresh watery accord dan pink pepper. Setelah beberapa saat, kamu akan disambut dengan violet dan aroma musk yang membuat Powder Room adalah pilihan aroma kulit yang klasik dan berkarisma. Description:Calm, and collected. Powder Room smells crisp thanks to its generous splash of fresh watery accord and pink pepper. Violet and a hint of musky notes give this fragrance its uplifting charisma and down-to-earth profile.Powder Room is the genderless everyday perfume that brings out the natural skin scent. Mood:CleanCrispPowderyNotes:Top: fresh watery accord, rose, pink pepperHeart: violet, orange blossom, peonyBase: musky notes, marine notes, sandalwoodFragrance performance:Sillage: 4/5Projection: 4/5Longevity: 4/5BPOM - NA18220600670"
SAFF & Co. Extrait de Parfum - COCO,SAFF & Co,Tangerang,5rb+ terjual,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/5/8/856b71f2-108b-4152-968a-4107bb431df4.png,https://www.tokopedia.com/saffnco/saff-co-extrait-de-parfum-coco?extParam=ivf%3Dfalse%26src%3Dsearch,"COCO carries the weight of untold legacy as the sun threaded its golden strands through noble gatherings amidst citrus orchards. A fragrant heirloom, weaving through generations like timeless tapestries of histories. COCO - Citrus, Woody, Balsamic (Unisex)Top Notes	 | Bergamot, Mandarin Orange, NeroliMiddle Notes | Ylang-ylang, Turkish Rose, Ivy, PatchouliBase Notes	 | White Musk, Tonka Bean, Vetiver"
Alchemist Fragrance - Galleria | Eau de Parfum,Alchemist Fragrance,Jakarta Pusat,750+ terjual,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/2/b6fc28ff-4486-43bb-916f-ef0b2d0b3627.jpg,https://www.tokopedia.com/alchemistfragrance/alchemist-fragrance-galleria-eau-de-parfum?extParam=ivf%3Dtrue%26src%3Dsearch,"𝐒𝐞𝐥𝐮𝐫𝐮𝐡 𝐩𝐫𝐨𝐝𝐮𝐤 𝐀𝐥𝐜𝐡𝐞𝐦𝐢𝐬𝐭 𝐅𝐫𝐚𝐠𝐫𝐚𝐧𝐜𝐞 𝐛𝐞𝐫𝐠𝐚𝐫𝐚𝐧𝐬𝐢. 𝐓𝐞𝐫𝐝𝐚𝐩𝐚𝐭 𝐰𝐚𝐫𝐫𝐚𝐧𝐭𝐲 𝐜𝐚𝐫𝐝 𝐮𝐧𝐭𝐮𝐤 𝐬𝐞𝐭𝐢𝐚𝐩 𝐩𝐞𝐦𝐛𝐞𝐥𝐢𝐚𝐧.𝐉𝐢𝐤𝐚 𝐩𝐫𝐨𝐝𝐮𝐤 𝐲𝐚𝐧𝐠 𝐤𝐚𝐦𝐮 𝐭𝐞𝐫𝐢𝐦𝐚 𝐛𝐞𝐫𝐦𝐚𝐬𝐚𝐥𝐚𝐡 (𝐛𝐨𝐜𝐨𝐫, 𝐩𝐞𝐜𝐚𝐡, 𝐫𝐞𝐭𝐚𝐤, 𝐭𝐞𝐫𝐬𝐮𝐦𝐛𝐚𝐭, 𝐚𝐭𝐚𝐮 𝐤𝐞𝐫𝐮𝐬𝐚𝐤𝐚𝐧 𝐥𝐚𝐢𝐧𝐧𝐲𝐚), 𝐬𝐢𝐥𝐚𝐤𝐚𝐧 𝐡𝐮𝐛𝐮𝐧𝐠𝐢 𝐚𝐝𝐦𝐢𝐧 𝐦𝐞𝐥𝐚𝐥𝐮𝐢 𝐜𝐡𝐚𝐭 𝐝𝐚𝐧 𝐬𝐞𝐫𝐭𝐚𝐤𝐚𝐧 𝐛𝐮𝐤𝐭𝐢 𝐟𝐨𝐭𝐨 𝐚𝐭𝐚𝐮 𝐯𝐢𝐝𝐞𝐨 𝐩𝐫𝐨𝐝𝐮𝐤.𝐆𝐚𝐫𝐚𝐧𝐬𝐢 𝐡𝐚𝐧𝐲𝐚 𝐛𝐞𝐫𝐥𝐚𝐤𝐮 𝐮𝐧𝐭𝐮𝐤 𝐩𝐞𝐦𝐛𝐞𝐥𝐢 𝐲𝐚𝐧𝐠 𝐛𝐞𝐥𝐮𝐦 𝐦𝐞𝐧𝐲𝐞𝐥𝐞𝐬𝐚𝐢𝐤𝐚𝐧 𝐭𝐫𝐚𝐧𝐬𝐚𝐤𝐬𝐢. 𝐆𝐚𝐫𝐚𝐧𝐬𝐢 𝐩𝐫𝐨𝐝𝐮𝐤 𝐭𝐢𝐝𝐚𝐤 𝐥𝐚𝐠𝐢 𝐛𝐞𝐫𝐥𝐚𝐤𝐮 𝐣𝐢𝐤𝐚 𝐩𝐞𝐦𝐛𝐞𝐥𝐢 𝐭𝐞𝐥𝐚𝐡 𝐦𝐞𝐦𝐛𝐞𝐫𝐢 𝐩𝐞𝐧𝐢𝐥𝐚𝐢𝐚𝐧 𝐝𝐚𝐧 𝐮𝐥𝐚𝐬𝐚𝐧.-Floral dan classy - Galleria akan menyapamu dengan aroma Tuberose, Honey dan Plum. Yang memberikan kesan airy, graceful terhadap aroma bunga Sedap Malam.Description:A scent that transcends you into a world where you can feel free to express your true femininity. Flourish in whiffs of floral beauty.Mood: Sweet Floral, Romance, RelaxedNotes:Top: Cape Jasmine, PlumHeart: Tuberose, OielletBase: Honey, RedwoodFragrance Performance:Sillage: 4/5Projection: 4/5Longevity: 4/5BPOM : NA18230602889"
ALT Perfume | MORROCAN SUNSET | 50ml | Eau De Parfum,Alt Perfume,Tangerang Selatan,2rb+ terjual,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/30/53b69e70-2e6d-4309-a2ff-13346f0614b6.png,https://www.tokopedia.com/altperfume/alt-perfume-morrocan-sunset-50ml-eau-de-parfum?extParam=cmp%3D1%26ivf%3Dfalse%26src%3Dsearch,"✨BARU✨Unlock Your Alter EgoMORROCAN SUNSETUnlocking : Misterious, Energy Boost, LustSebuah parfum yang terinpirasi dari keajaiban Neroli. sebuah tanaman dengan aromaunik yang berasal dari Marroco yang merupakan one of the sexiest destination in the world. Sunset di marroco merupakan peralihan dari siang hari yang aktive menuju malam yang eksotis dan penuh gemerlap dan kesenangan sehingga Alt Morrocan Sunset sangat menggambarkan kamu yang memiliki kepribadian selalu ready to conquer the night, ready to unlock this alter ego?•Size : 50ml• Category : Luxury EDP• Longevity : Up to 8 hours**• Sillage : Sweet, spicy, a perfect unisex perfume• Top Notes : Neroli, bergamot, red fruits• Middle Notes : orange blossom, jasmine, cinnamon, resin• Base Notes : Vanilla, caramel, musk, cedarwood• Usage time : Night and formalKemasan :- Hardbox- 1 pcs EDP Alt Morrocan Sunset 50ml- Kartu garansi- Manual card- ✨Kartu promo✨🌟BISA REQUEST KARTU UCAPAN CUSTOM UNTUK HADIAH🌟Dengan packaging unboxing experience yang EXTRA, Alt cocok untuk dijadikan hadiahSilahkan DM mimin untuk custom kartu ucapan + jangan lupa untuk checkout product personalized greeting card.**Ketahanan parfum bisa berbeda beda disetiap pemakainya. Tergantung dengan jenin kulit, tingkat kelembapan kulit (semakin lembap semakin tahan lama), keadaan cuaca, jumlah keringat, suhu badan."
Parfum Lattafa Ana Abiyedh I Am White EDP 60ml for Unisex,ETC,Jakarta Barat,100+ terjual,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/6/9/90364e14-6c79-4c80-b71c-311c2a633751.png,https://www.tokopedia.com/etcstore/parfum-lattafa-ana-abiyedh-i-am-white-edp-60ml-for-unisex?extParam=ivf%3Dfalse%26src%3Dsearch,"Parfum ini mengingatkan akan Xerjoff Erba PuraLattafa Ana Abiyedh I am White adalah parfum pria wanita yang bernuansa Vanilla Powdery yang memiliki campuran aroma-aroma seperti Bergamot, Orange, Vanilla, Pear, Musk dan Amber.Aroma: Vanilla Musky SpicyPerfume rating 3.92 out of 5 with 654 votesNamun, penting untuk diingat bahwa pengalaman aroma parfum dapat bervariasi antara individu karena interaksi dengan pH kulit dan kepekaan aroma pribadi.Disclaimers:Berdasarkan peraturan HAK KEKAYAAN INTELEKTUAL (HAKI) yang berlaku, maka untuk informasi produk yang lebih detail anda dapat mencarinya di internet."
SAFF & Co. Extrait de Parfum - LAS POZAS,SAFF & Co,Tangerang,4rb+ terjual,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/5/8/1173f155-f5d2-4225-b783-dbd72ce5ff01.png,https://www.tokopedia.com/saffnco/saff-co-extrait-de-parfum-las-pozas?extParam=ivf%3Dfalse%26src%3Dsearch,"Rustling wind and singing birds, as i walk through the forest listening to the nature’s song of the Angel’s trumpet. White and hopeful, it breathes. Velvety body of Sumatran benzoin grounded with a humbling blend of cashmeran and sandalwood is serene yet so surreal. Stand still. LAS POZAS knows where you are. You must let it find you.Top Notes	 | Datura a.k.a The Angel's TrumpetMiddle Notes    | Sumatran benzoin & NutmegDry Down 	 | Cashmeran, Cedar, Sandalwood"
Mykonos Bonfire Vanilla Extrait De Parfum,MYKONOS,Jakarta Timur,750+ terjual,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/31/4924d237-1374-42ee-a475-e08566edbd31.jpg,https://www.tokopedia.com/mykonos/mykonos-bonfire-vanilla-extrait-de-parfum?extParam=ivf%3Dfalse%26src%3Dsearch,"Note: Produk kami bergaransi 100%. Bila ada kerusakan atau kebocoran di produk parfum nya, tolong hubungi admin kami by chat untuk kami bantu cari jalan keluar nya. Kalau pembeli memberi rating atau komentar negatif sebelum chat admin kami untuk cari jalan keluar, maka garansi produk tidak lagi berlaku. Have you ever dreamt of the warm feeling of biting into smores roasted on a campfire against a cold winter?Picture this: You’re dressed in a sexy black dress, ready for a festive dinner, but It’s snowing outside, yet you feel so warm sitting by the campfire, snuggling under fuzzy blankets, whilst roasting vanilla marshmallows with a loved one.Bonfire vanilla is a smoky blend of Wood fire, sweet spices, brown sugar & Roasted Vanilla.An extrait de parfum that will last all day on your skin,A scent that starts off spicy & strong, but dries down cozy & warm. Top notes: Cloves, nutmeg, Pink pepper, orange zest & Vanilla Middle notes: Smoked wood, Pepper, Guaic wood, Burnt brown sugarBase notes: Smoked Wood, Vanilla, marshmallow, caramelBPOM : NA18220603948"
SAFF & Co. Extrait de Parfum - CHNO,SAFF & Co,Tangerang,6rb+ terjual,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/5/8/8e30d842-7053-4b2e-a222-1580e4106764.png,https://www.tokopedia.com/saffnco/saff-co-extrait-de-parfum-chno?extParam=ivf%3Dfalse%26src%3Dsearch,"Welcome to the world of CHNO, where dark reality intertwines with your wildest fantasies. CHNO attracts your senses like a siren’s song – an addicting reverie that reveals the surreal secrets of the nightfall.CHNO - Vanilla, Sweet, Balsamic (Unisex - Women)Top Notes	 | Pink pepper, Neroli, PearMiddle Notes    | Coffee, Jasmine, Bitter Almond, LicoriceBase Notes	 | Vanilla, Patchouli, Cedar, Cashmere wood"
Nifty Twice 540 Inspired by Baccarat Rouge EDP 50mL Parfum Original,NIFTY TWICE OFFICIAL,Bandung,500+ terjual,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/11/11/e68ed8ba-30e6-4642-924d-e227e2fdfbad.png,https://www.tokopedia.com/niftytwiceofficial/nifty-twice-540-inspired-by-baccarat-rouge-edp-50ml-parfum-original?extParam=ivf%3Dfalse%26src%3Dsearch,"Baccarat Rouge 540 (Unisex) (Woody, Amber, Warm Spicy, Fresh Spicy)Top Notes: Saffron, JasmineMiddle Notes: Amberwood, AmbergrisBase Notes: Fir Resin, CedarEau de Parfum 50mLPENGIRIMAN• setiap pembelian 1 pcs parfume , free smelling parfume / pepper tester  dan boleh request all varian atau disesuaikan dengan stock yang adakegunaan smelling parfume/pepper tester• Untuk menganalisis aroma dari fragrance (top note, middle note, dan bottom note)• bisa digantung di lemari pakaian  / sebagai pengharum lemari pakaian  dan bisa tahan sampai 1 bulan • Nifty Twice dikirim dari Bandung, pemesanan sebelum jam 5 dikirim di hari yang sama.• Pengiriman Setiap HariKOMPLAIN/RETUR• Sertakan video unboxing untuk klaim komplain, apabila tidak menyertakan video saat komplain mohon maaf kami tidak dapat memproses komplain tersebut.• Chat admin terlebih dahulu sebelum memberikan rating bintang apabila ada masalah pada paket yang diterima.• Batas retur barang 3x24 jam setelah paket diterima.PENGGUNAAN Nifty Twice• Semprotkan Nifty Twice Parfum di urat nadi tangan, area leher, belakang telinga & dada.• Spraying ke baju diberi jarak 15-20cm."
